2021-12-12 12:12:663 INFO  DurationOfStayPage :48 - selecting duration of stay : [[ChromeDriver: chrome on WINDOWS (b40a81008df3c8bcb16a02fb6a7470a3)] -> xpath: //div[@class='govuk-radios']//label[contains(text(),'longer than 6 months')]]
2021-12-12 12:12:748 INFO  DurationOfStayPage :75 - selecting continue : [[ChromeDriver: chrome on WINDOWS (b40a81008df3c8bcb16a02fb6a7470a3)] -> xpath: //button[contains(text(),'Continue')]]
2021-12-12 12:12:833 INFO  WorkTypePage :32 - selecting work type : [[[ChromeDriver: chrome on WINDOWS (b40a81008df3c8bcb16a02fb6a7470a3)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (b40a81008df3c8bcb16a02fb6a7470a3)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (b40a81008df3c8bcb16a02fb6a7470a3)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (b40a81008df3c8bcb16a02fb6a7470a3)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (b40a81008df3c8bcb16a02fb6a7470a3)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (b40a81008df3c8bcb16a02fb6a7470a3)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (b40a81008df3c8bcb16a02fb6a7470a3)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (b40a81008df3c8bcb16a02fb6a7470a3)] -> xpath: //div[@class='govuk-radios']//div//label]]
2021-12-12 12:12:832 INFO  WorkTypePage :41 - clicking on continue Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Continue')]'
2021-12-12 12:12:915 INFO  ResultPage :26 - Concluding : [[ChromeDriver: chrome on WINDOWS (b40a81008df3c8bcb16a02fb6a7470a3)] -> xpath: //h2[@class='gem-c-heading gem-c-heading--font-size-27 govuk-!-margin-bottom-6']]
2021-12-12 13:12:928 INFO  ManageDriver :32 - Launching chrome browser
2021-12-12 13:12:265 INFO  ManageDriver :32 - Launching chrome browser
2021-12-12 13:12:201 INFO  StartPage :26 - clicking on start now button[[ChromeDriver: chrome on WINDOWS (51fdffc1a25f6b3dc1b2f4c061adf79e)] -> xpath: //a[normalize-space()='Start now']]
2021-12-12 13:12:346 INFO  SelectNationalityPage :30 - Selecting nationality : [[ChromeDriver: chrome on WINDOWS (51fdffc1a25f6b3dc1b2f4c061adf79e)] -> xpath: //select[@id='response']]
2021-12-12 13:12:514 INFO  SelectNationalityPage :39 - selecting continue : [[ChromeDriver: chrome on WINDOWS (51fdffc1a25f6b3dc1b2f4c061adf79e)] -> xpath: //button[@class='gem-c-button govuk-button gem-c-button--bottom-margin']]
2021-12-12 13:12:669 INFO  ReasonForTravelPage :40 - Reason for travel [[[ChromeDriver: chrome on WINDOWS (51fdffc1a25f6b3dc1b2f4c061adf79e)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (51fdffc1a25f6b3dc1b2f4c061adf79e)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (51fdffc1a25f6b3dc1b2f4c061adf79e)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (51fdffc1a25f6b3dc1b2f4c061adf79e)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (51fdffc1a25f6b3dc1b2f4c061adf79e)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (51fdffc1a25f6b3dc1b2f4c061adf79e)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (51fdffc1a25f6b3dc1b2f4c061adf79e)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (51fdffc1a25f6b3dc1b2f4c061adf79e)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (51fdffc1a25f6b3dc1b2f4c061adf79e)] -> xpath: //div[@class='govuk-radios']//div//label]]
2021-12-12 13:12:906 INFO  ReasonForTravelPage :32 - clicking on continue button [[ChromeDriver: chrome on WINDOWS (51fdffc1a25f6b3dc1b2f4c061adf79e)] -> xpath: //button[@class='gem-c-button govuk-button gem-c-button--bottom-margin']]
2021-12-12 13:12:979 INFO  FamilyImmigrationStatusPage :43 - selecting yes for immigration status of relative : [[ChromeDriver: chrome on WINDOWS (51fdffc1a25f6b3dc1b2f4c061adf79e)] -> xpath: //div[@class='govuk-radios']//div//label[contains(text(),'Yes')]]
2021-12-12 13:12:152 INFO  FamilyImmigrationStatusPage :72 - selecting continue : [[ChromeDriver: chrome on WINDOWS (51fdffc1a25f6b3dc1b2f4c061adf79e)] -> xpath: //button[contains(text(),'Continue')]]
2021-12-12 13:12:206 INFO  ResultPage :27 - Concluding : [[ChromeDriver: chrome on WINDOWS (51fdffc1a25f6b3dc1b2f4c061adf79e)] -> xpath: //h2[@class='gem-c-heading gem-c-heading--font-size-27 govuk-!-margin-bottom-6']]
2021-12-12 13:12:499 INFO  ManageDriver :32 - Launching chrome browser
2021-12-12 13:12:926 INFO  StartPage :26 - clicking on start now button[[ChromeDriver: chrome on WINDOWS (2a600eb1aa3d207c1116533ffba23afb)] -> xpath: //a[normalize-space()='Start now']]
2021-12-12 13:12:50 INFO  SelectNationalityPage :30 - Selecting nationality : [[ChromeDriver: chrome on WINDOWS (2a600eb1aa3d207c1116533ffba23afb)] -> xpath: //select[@id='response']]
2021-12-12 13:12:434 INFO  SelectNationalityPage :39 - selecting continue : [[ChromeDriver: chrome on WINDOWS (2a600eb1aa3d207c1116533ffba23afb)] -> xpath: //button[@class='gem-c-button govuk-button gem-c-button--bottom-margin']]
2021-12-12 13:12:542 INFO  ReasonForTravelPage :40 - Reason for travel [[[ChromeDriver: chrome on WINDOWS (2a600eb1aa3d207c1116533ffba23afb)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (2a600eb1aa3d207c1116533ffba23afb)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (2a600eb1aa3d207c1116533ffba23afb)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (2a600eb1aa3d207c1116533ffba23afb)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (2a600eb1aa3d207c1116533ffba23afb)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (2a600eb1aa3d207c1116533ffba23afb)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (2a600eb1aa3d207c1116533ffba23afb)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (2a600eb1aa3d207c1116533ffba23afb)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (2a600eb1aa3d207c1116533ffba23afb)] -> xpath: //div[@class='govuk-radios']//div//label]]
2021-12-12 13:12:35 INFO  SelectNationalityPage :39 - selecting continue : [[ChromeDriver: chrome on WINDOWS (2a600eb1aa3d207c1116533ffba23afb)] -> xpath: //button[@class='gem-c-button govuk-button gem-c-button--bottom-margin']]
2021-12-12 13:12:70 INFO  ResultPage :27 - Concluding : [[ChromeDriver: chrome on WINDOWS (2a600eb1aa3d207c1116533ffba23afb)] -> xpath: //h2[@class='gem-c-heading gem-c-heading--font-size-27 govuk-!-margin-bottom-6']]
